Model,Test Accuracy,Precision,Recall,F1-Score,Best Val Acc
ResNet-50,0.9542857142857143,0.9601831501831501,0.9542857142857143,0.9546300986797881,0.9346153846153846
EfficientNet-B0,0.9085714285714286,0.9136654456654456,0.9085714285714286,0.9081627813180608,0.9307692307692308
